"",,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,,,"2018-2022",,
"Afghanistan","Total population (1000 inhab)",1992,14485.546,"X",,1997,19357.126,"X",,2002,22600.77,"X",,2007,27100.536,"X",,2012,31161.376,"X",,2017,36296.113,"X",,,,"",
"Afghanistan","Gross Domestic Product (GDP) (current US$)",1992,3.474600007E9,"X",,1997,3.016290743E9,"X",,2002,4.285170218E9,"X",,2007,1.0380165236E10,"X",,2012,2.1330874642E10,"X",,2017,2.1515502135E10,"X",,,,"",
"Afghanistan","MDG 7.5. Freshwater withdrawal as % of total renewable water resources (%)",1992,35.9104803049,"E",,1997,31.852952038,"E",,2002,31.0454615031,"I",,2007,31.0454615031,"I",,2012,31.0454615031,"I",,2017,31.0454615031,"I",,,,"",
"Afghanistan","Agricultural water withdrawal as % of total renewable water resources (%)",1992,35.4981005524,"I",,1997,31.4278557811,"I",,2002,30.6138068269,"I",,2007,30.6138068269,"I",,2012,30.6138068269,"I",,2017,30.6138068269,"I",,,,"",
"Afghanistan","SDG 6.4.2. Water Stress (%)",1992,63.3377882916,"E",,1997,56.1812461297,"E",,2002,54.7570194384,"E",,2007,54.7570194384,"E",,2012,54.7570194384,"E",,2017,54.7570194384,"E",,,,"",
"Afghanistan","SDG 6.4.1. Water Use Efficiency (US$/m3)",1992,0.2418060094,"I",,1997,0.1884776812,"I",,2002,0.3058405717,"I",,2007,0.5477801323,"I",,2012,0.7657161813,"I",,2017,0.9237777733,"I",,,,"",
"Afghanistan","SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3)",1992,0.0926818113,"E",,1997,0.0831248054,"E",,2002,0.0800665888,"E",,2007,0.1099382683,"E",,2012,0.1031197786,"E",,2017,0.1205568988,"E",,,,"",
"Afghanistan","SDG 6.4.1. Industrial Water Use Efficiency (US$/m3)",1992,25.4594092526,"E",,1997,8.8058448579,"E",,2002,12.2357709049,"E",,2007,20.7370587038,"E",,2012,23.0747007593,"E",,2017,28.2292887814,"E",,,,"",
"Afghanistan","SDG 6.4.1. Services Water Use Efficiency (US$/m3)",1992,10.2970281553,"E",,1997,7.5194897525,"E",,2002,16.3331740974,"E",,2007,26.7756786676,"E",,2012,47.3269510299,"E",,2017,57.1486222951,"E",,,,"",

"",,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,,,"2018-2022",,
"Albania","Total population (1000 inhab)",1992,3245.886,"X",,1997,3099.752,"X",,2002,3126.187,"X",,2007,3033.998,"X",,2012,2914.096,"X",,2017,2884.169,"X",,,,"",
"Albania","Gross Domestic Product (GDP) (current US$)",1992,1.51614918E9,"X",,1997,2.224654241E9,"X",,2002,4.355865889E9,"X",,2007,1.067732222E10,"X",,2012,1.2319779604E10,"X",,2017,1.3025068581E10,"X",,,,"",
"Albania","MDG 7.5. Freshwater withdrawal as % of total renewable water resources (%)",1992,3.9190728477,"E",,1997,4.7366225166,"E",,2002,5.5070198675,"E",,2007,4.198807947,"E",,2012,3.9582450331,"E",,2017,3.9337748344,"E",,,,"",
"Albania","Agricultural water withdrawal as % of total renewable water resources (%)",1992,2.8741721854,"I",,1997,2.7350993377,"I",,2002,2.9112582781,"I",,2007,1.7589403974,"I",,2012,1.9841059603,"I",,2017,2.9966887417,"E",,,,"",
"Albania","SDG 6.4.2. Water Stress (%)",1992,7.1127403846,"E",,1997,8.5965144231,"E",,2002,9.9947115385,"E",,2007,7.6204326923,"E",,2012,7.1838341346,"E",,2017,7.1394230769,"E",,,,"",
"Albania","SDG 6.4.1. Water Use Efficiency (US$/m3)",,,"",,,,"",,2002,2.9516696035,"I",,2007,5.2875230119,"I",,2012,6.8771227565,"I",,2017,6.6569071373,"I",,,,"",
"Albania","SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3)",,,"",,,,"",,2002,0.367061048,"E",,2007,0.7081770177,"E",,2012,1.4443704504,"E",,2017,1.2202894152,"E",,,,"",
"Albania","SDG 6.4.1. Industrial Water Use Efficiency (US$/m3)",1992,6.2531189799,"E",,1997,3.5279556709,"E",,2002,6.3350958212,"E",,2007,8.8700239691,"E",,2012,9.593241469,"E",,2017,9.331023806,"E",,,,"",
"Albania","SDG 6.4.1. Services Water Use Efficiency (US$/m3)",1992,4.6752105684,"E",,1997,5.1006927682,"E",,2002,5.6502093143,"E",,2007,8.4597962383,"E",,2012,14.0828881843,"E",,2017,21.8522385675,"E",,,,"",

"",,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,,,"2018-2022",,
"Algeria","Total population (1000 inhab)",1992,27028.326,"X",,1997,29742.979,"X",,2002,31855.109,"X",,2007,34166.972,"X",,2012,37383.895,"X",,2017,41389.189,"X",,,,"",
"Algeria","Gross Domestic Product (GDP) (current US$)",1992,4.9105553595E10,"X",,1997,4.8068457028E10,"X",,2002,5.6819210891E10,"X",,2007,1.34977088396E11,"X",,2012,2.09059083118E11,"X",,2017,1.67389890425E11,"X",,,,"",
"Algeria","MDG 7.5. Freshwater withdrawal as % of total renewable water resources (%)",1992,40.0738680194,"E",,1997,45.2041110514,"E",,2002,51.8008576378,"E",,2007,59.3709010911,"E",,2012,66.8552327076,"E",,2017,84.0147424359,"E",,,,"",
"Algeria","Agricultural water withdrawal as % of total renewable water resources (%)",1992,24.3920303576,"I",,1997,27.5166164084,"I",,2002,31.1757326414,"I",,2007,36.9729696035,"I",,2012,42.7702065655,"E",,2017,57.1783663324,"E",,,,"",
"Algeria","SDG 6.4.2. Water Stress (%)",1992,65.7861007713,"E",,1997,74.2080151451,"E",,2002,85.0373724582,"E",,2007,97.464514286,"E",,2012,109.7509497678,"E",,2017,137.9203602082,"E",,,,"",
"Algeria","SDG 6.4.1. Water Use Efficiency (US$/m3)",,,"",,,,"",,2002,15.0087600728,"I",,2007,16.6730260145,"I",,2012,16.0927893206,"E",,2017,14.3546195882,"E",,,,"",
"Algeria","SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3)",,,"",,,,"",,2002,0.3438415573,"E",,2007,0.4334480056,"E",,2012,0.6101537764,"E",,2017,0.6183399143,"E",,,,"",
"Algeria","SDG 6.4.1. Industrial Water Use Efficiency (US$/m3)",1992,56.514461767,"E",,1997,73.2527467036,"E",,2002,103.2871769197,"E",,2007,164.7566500892,"E",,2012,170.2344498076,"E",,2017,329.8714798181,"E",,,,"",
"Algeria","SDG 6.4.1. Services Water Use Efficiency (US$/m3)",1992,26.2500182718,"E",,1997,21.5494713086,"E",,2002,20.403191374,"E",,2007,18.0254423072,"E",,2012,20.4933066262,"E",,2017,23.0687866439,"E",,,,"",

"",,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,,,"2018-2022",,
"Andorra","Total population (1000 inhab)",1992,58.888,"X",,1997,64.327,"X",,2002,70.049,"X",,2007,82.684,"X",,2012,82.427,"X",,2017,77.001,"X",,,,"",
"Andorra","Gross Domestic Product (GDP) (current US$)",1992,1.531034035E9,"X",,1997,1.493901088E9,"X",,2002,1.733195719E9,"X",,2007,4.016771107E9,"X",,2012,3.164644159E9,"X",,2017,3.020852315E9,"X",,,,"",
"Andorra","MDG 7.5. Freshwater withdrawal as % of total renewable water resources (%)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Andorra","Agricultural water withdrawal as % of total renewable water resources (%)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Andorra","SDG 6.4.2. Water Stress (%)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Andorra","SDG 6.4.1. Water Use Efficiency (US$/m3)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Andorra","SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Andorra","SDG 6.4.1. Industrial Water Use Efficiency (US$/m3)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Andorra","SDG 6.4.1. Services Water Use Efficiency (US$/m3)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",

"",,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,,,"2018-2022",,
"Angola","Total population (1000 inhab)",1992,12657.366,"X",,1997,14871.57,"X",,2002,17519.417,"X",,2007,20905.363,"X",,2012,25107.931,"X",,2017,29816.766,"X",,,,"",
"Angola","Gross Domestic Product (GDP) (current US$)",1992,1.8586043029E10,"X",,1997,1.0226790656E10,"X",,2002,1.5285592487E10,"X",,2007,6.5266415707E10,"X",,2012,1.28052913438E11,"X",,2017,1.22123858628E11,"X",,,,"",
"Angola","MDG 7.5. Freshwater withdrawal as % of total renewable water resources (%)",1992,0.3650217707,"I",,1997,0.4065934066,"I",,2002,0.4491374663,"I",,2007,0.4755390836,"I",,2012,0.4755390836,"I",,2017,0.4755390836,"I",,,,"",
"Angola","Agricultural water withdrawal as % of total renewable water resources (%)",1992,0.2057847813,"I",,1997,0.1656126892,"I",,2002,0.1244474394,"I",,2007,0.0988544474,"I",,2012,0.0988544474,"I",,2017,0.0988544474,"I",,,,"",
"Angola","SDG 6.4.2. Water Stress (%)",1992,1.4368496225,"E",,1997,1.600489696,"E",,2002,1.7679575597,"E",,2007,1.8718832891,"E",,2012,1.8718832891,"E",,2017,1.8718832891,"E",,,,"",
