

"Area","Area_Id","Variable_Name","Variable_Id","Year","Value","Symbol","Md"
"Afghanistan",4,"Total population",4104,1992,14485.546,"X","","0"
"Afghanistan",4,"Total population",4104,1997,19357.126,"X","","0"
"Afghanistan",4,"Total population",4104,2002,22600.77,"X","","0"
"Afghanistan",4,"Total population",4104,2007,27100.536,"X","","0"
"Afghanistan",4,"Total population",4104,2012,31161.376,"X","","0"
"Afghanistan",4,"Total population",4104,2017,36296.113,"X","","0"
"Afghanistan",4,"Gross Domestic Product (GDP)",4112,1992,3.474600007E9,"X","","0"
"Afghanistan",4,"Gross Domestic Product (GDP)",4112,1997,3.016290743E9,"X","","0"
"Afghanistan",4,"Gross Domestic Product (GDP)",4112,2002,4.285170218E9,"X","","0"
"Afghanistan",4,"Gross Domestic Product (GDP)",4112,2007,1.0380165236E10,"X","","0"
"Afghanistan",4,"Gross Domestic Product (GDP)",4112,2012,2.1330874642E10,"X","","0"
"Afghanistan",4,"Gross Domestic Product (GDP)",4112,2017,2.1515502135E10,"X","","0"
"Afghanistan",4,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1992,35.9104803049,"E","","0"
"Afghanistan",4,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1997,31.852952038,"E","","0"
"Afghanistan",4,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,31.0454615031,"I","","0"
"Afghanistan",4,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2007,31.0454615031,"I","","0"
"Afghanistan",4,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2012,31.0454615031,"I","","0"
"Afghanistan",4,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2017,31.0454615031,"I","","0"
"Afghanistan",4,"Agricultural water withdrawal as % of total renewable water resources",4273,1992,35.4981005524,"I","","0"
"Afghanistan",4,"Agricultural water withdrawal as % of total renewable water resources",4273,1997,31.4278557811,"I","","0"
"Afghanistan",4,"Agricultural water withdrawal as % of total renewable water resources",4273,2002,30.6138068269,"I","","0"
"Afghanistan",4,"Agricultural water withdrawal as % of total renewable water resources",4273,2007,30.6138068269,"I","","0"
"Afghanistan",4,"Agricultural water withdrawal as % of total renewable water resources",4273,2012,30.6138068269,"I","","0"
"Afghanistan",4,"Agricultural water withdrawal as % of total renewable water resources",4273,2017,30.6138068269,"I","","0"
"Afghanistan",4,"SDG 6.4.2. Water Stress",4550,1992,63.3377882916,"E","","0"
"Afghanistan",4,"SDG 6.4.2. Water Stress",4550,1997,56.1812461297,"E","","0"
"Afghanistan",4,"SDG 6.4.2. Water Stress",4550,2002,54.7570194384,"E","","0"
"Afghanistan",4,"SDG 6.4.2. Water Stress",4550,2007,54.7570194384,"E","","0"
"Afghanistan",4,"SDG 6.4.2. Water Stress",4550,2012,54.7570194384,"E","","0"
"Afghanistan",4,"SDG 6.4.2. Water Stress",4550,2017,54.7570194384,"E","","0"
"Afghanistan",4,"SDG 6.4.1. Water Use Efficiency",4551,1992,0.2418060094,"I","","0"
"Afghanistan",4,"SDG 6.4.1. Water Use Efficiency",4551,1997,0.1884776812,"I","","0"
"Afghanistan",4,"SDG 6.4.1. Water Use Efficiency",4551,2002,0.3058405717,"I","","0"
"Afghanistan",4,"SDG 6.4.1. Water Use Efficiency",4551,2007,0.5477801323,"I","","0"
"Afghanistan",4,"SDG 6.4.1. Water Use Efficiency",4551,2012,0.7657161813,"I","","0"
"Afghanistan",4,"SDG 6.4.1. Water Use Efficiency",4551,2017,0.9237777733,"I","","0"
"Afghanistan",4,"SDG 6.4.1. Irrigated Agriculture Water Use Efficiency",4552,1992,0.0926818113,"E","","0"
"Afghanistan",4,"SDG 6.4.1. Irrigated Agriculture Water Use Efficiency",4552,1997,0.0831248054,"E","","0"
"Afghanistan",4,"SDG 6.4.1. Irrigated Agriculture Water Use Efficiency",4552,2002,0.0800665888,"E","","0"
"Afghanistan",4,"SDG 6.4.1. Irrigated Agriculture Water Use Efficiency",4552,2007,0.1099382683,"E","","0"
"Afghanistan",4,"SDG 6.4.1. Irrigated Agriculture Water Use Efficiency",4552,2012,0.1031197786,"E","","0"
"Afghanistan",4,"SDG 6.4.1. Irrigated Agriculture Water Use Efficiency",4552,2017,0.1205568988,"E","","0"
"Afghanistan",4,"SDG 6.4.1. Industrial Water Use Efficiency",4553,1992,25.4594092526,"E","","0"
"Afghanistan",4,"SDG 6.4.1. Industrial Water Use Efficiency",4553,1997,8.8058448579,"E","","0"
"Afghanistan",4,"SDG 6.4.1. Industrial Water Use Efficiency",4553,2002,12.2357709049,"E","","0"
"Afghanistan",4,"SDG 6.4.1. Industrial Water Use Efficiency",4553,2007,20.7370587038,"E","","0"
"Afghanistan",4,"SDG 6.4.1. Industrial Water Use Efficiency",4553,2012,23.0747007593,"E","","0"
"Afghanistan",4,"SDG 6.4.1. Industrial Water Use Efficiency",4553,2017,28.2292887814,"E","","0"
